hotelcode,min,max,Diff_Min,Diff_Max,Score
31,75.1,189.88,0.000,0.000,0.00
97,259.76,400,1.103,0.712,0.91
834,220.67,656.86,0.786,1.124,0.95
3144,254.54,347.3,0.886,0.395,0.64
11203,230.91,244.58,0.748,0.149,0.45
383,78.4,180.56,0.018,0.028,0.02
162,123.16,371.71,0.271,0.532,0.40
287,75.1,189.88,0.000,0.000,0.00
333,46.8,46.8,0.187,0.490,0.34
378,235.16,951.9,1.001,2.129,1.56
383,78.4,180.56,0.022,0.027,0.02
441,70.33,209.97,0.033,0.061,0.05
515,124.76,603.14,0.345,1.175,0.76
541,81.31,252.93,0.044,0.183,0.11
560,245,333.77,1.159,0.418,0.79
597,175.43,194.92,0.676,0.015,0.35
607,86.33,129.06,0.078,0.189,0.13
638,59.14,197.45,0.114,0.024,0.07
652,68.28,1004.63,0.050,2.315,1.18
654,88.7,155.22,0.102,0.101,0.10
658,64.41,104.54,0.082,0.258,0.17
684,110.87,383.14,0.276,0.580,0.43
715,60.28,207.96,0.117,0.055,0.09
723,51.53,165.78,0.191,0.075,0.13
729,87.19,118.4,0.099,0.228,0.16
793,126.71,142.55,0.422,0.155,0.29
822,62.93,155.72,0.101,0.114,0.11
858,41.86,141.65,0.283,0.163,0.22
861,82.73,110.61,0.066,0.275,0.17
920,84.47,110.87,0.081,0.279,0.18
937,93.81,148.43,0.164,0.149,0.16
944,112.42,441.74,0.327,0.888,0.61
989,65.29,153.09,0.087,0.132,0.11
997,83.77,181.48,0.077,0.030,0.05
1072,49.63,91.87,0.231,0.361,0.30
1130,169.63,322.36,0.846,0.486,0.67
1145,58.39,159.44,0.151,0.113,0.13
1179,192.13,311.44,1.040,0.449,0.74
1261,54.57,144.67,0.185,0.169,0.18
1291,56.96,148.69,0.165,0.156,0.16
1324,161.85,270.25,0.782,0.304,0.54
1328,80.77,195.55,0.051,0.022,0.04
1353,94.43,193.69,0.176,0.015,0.10
1359,117.81,319.09,0.388,0.492,0.44
1429,152.59,338.56,0.698,0.562,0.63
